ingredient,quantity,unit
bacon,6.0,slices
bay_leaves,2.0,leaves
carrot,1.0,carrot
celery,2.0,ribs
chicken_broth,4.0,cup
chicken_stock,900.0,ml
cilantro,0.5,cup
cloves,0.25,tsp
cranberries,12.0,oz
diamond_crystal_salt,1.0,tsp
dijon_mustard,1.0,tsp
egg,1.0,egg
elbow_macaroni,450.0,g
flour,27.25,g
garlic,7.0,cloves
garlic_powder,0.25,tsp
greek_yogurt,0.33,cup
green_onion,0.5,cup
ground_cinnamon,1.0,tsp
gruyere,225.0,g
hot_sauce,1.0,tsp
lemon_juice,1.0,tbsp
marmite,0.25,tsp
milk,5.0,cups
mustard_powder,0.5,tsp
nutmeg,0.125,tsp
onion,1.0,onion
orange_zest,1.0,orange
panko_breadcrumbs,72.0,g
pepper,26.0,g
pillsbury_croissants,2.0,cans
russet_potato,4.0,potato(s)
salsa,0.33,cup
salt,26.25,g
salted_butter,2.0,tbsp
sharp_cheddar,681.0,g
soy_sauce,1.0,tsp
sugar,10.0,oz
turkey,1.0,bird
unsalted_butter,4.0,stick
vegetable_oil,3.0,tbsp
whole_peppercorns,12.0,corns
yellow_onion,1.0,onion
